Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_Sec,Flow_Packets_Sec,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_Sec,Bwd_Packets_Sec,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
87750,2,2,72,264,36,36,36,0,132,132,132,0,182064,193413,29250,50658.156,87745,2,2,2,0,2,2,3,3,0,3,3,0,0,0,0,64,64,22.79202279,22.79202279,36,132,74.4,52.58136552,2764.8,0,0,0,0,0,0,0,0,1,93,36,132,0,0,0,0,0,0,2,72,2,264,-1,-1,1,32,0,0,0,0,0,0,0,0,0
31073,4,4,120,232,30,30,30,0,58,58,58,0,23032,155666,4439,11574.38399,30687,3,30949,10316.33333,17785.27504,30853,48,338,112.6666667,152.6444671,287,3,0,0,0,0,128,104,128.7291217,128.7291217,30,58,42.44444444,14.75729575,217.7777778,0,0,0,0,0,0,0,0,1,47.75,30,58,0,0,0,0,0,0,4,120,4,232,-1,-1,3,32,0,0,0,0,0,0,0,0,0
40633,4,4,140,508,35,35,35,0,127,127,127,0,70064,127938,5804.714286,11518.26271,30595,3,40438,13479.33333,23301.86725,40386,4,9990,3330,5723.606119,9939,3,0,0,0,0,104,104,98.44215293,98.44215293,35,127,75.88888889,48.48825746,2351.111111,0,0,0,0,0,0,0,0,1,85.375,35,127,0,0,0,0,0,0,4,140,4,508,-1,-1,3,20,0,0,0,0,0,0,0,0,0
23179,1,1,0,0,0,0,0,0,0,0,0,0,2,237096,23179,0,23179,23179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,43.14249968,43.14249968,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,242,31,0,32,0,0,0,0,0,0,0,0,0
8770162,9,9,2785,7240,2187,0,309.4444444,723.8124949,2699,2,804.4444444,992.1703623,24073,129264,515891.8824,2046138.948,8455316,8,8770162,1096270.25,2974072.285,8455316,217,231174,28896.75,37983.10305,107516,49,0,0,0,0,192,184,1.026206814,1.026206814,0,2699,527.6315789,864.8354507,747940.3567,0,0,0,1,0,0,0,0,1,556.9444444,309.4444444,804.4444444,0,0,0,0,0,0,9,2785,9,7240,8192,35040,8,20,0,0,0,0,0,0,0,0,0
121,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,152366,118487,121,0,121,121,121,121,0,121,121,0,0,0,0,0,1,0,0,0,64,0,16528.92562,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,0,0,0,0,0,0,2,37,0,0,33285,-1,0,32,0,0,0,0,0,0,0,0,0
86,2,0,12,0,6,6,6,0,0,0,0,0,50448,151369,86,0,86,86,86,86,0,86,86,0,0,0,0,0,0,0,0,0,40,0,23255.81395,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,0,0,0,0,0,0,2,12,0,0,444,-1,1,20,0,0,0,0,0,0,0,0,0
113935,2,1,12,6,6,6,6,0,6,6,6,0,67749,156370,56967.5,80534.51263,113914,21,113935,113935,0,113935,113935,0,0,0,0,0,0,0,0,0,40,20,17.55386843,8.776934217,6,6,6,0,0,0,0,0,0,1,1,0,0,0,8,6,6,0,0,0,0,0,0,2,12,1,6,31088,62867,1,20,0,0,0,0,0,0,0,0,0
165,2,2,106,234,53,53,53,0,117,117,117,0,105794,153169,55,89.20201791,158,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,40,40,12121.21212,12121.21212,53,117,78.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,98.25,53,117,0,0,0,0,0,0,2,106,2,234,-1,-1,1,20,0,0,0,0,0,0,0,0,0
10207169,9,9,5364,6212,2682,0,596,1182.650836,1658,0,690.2222222,821.8633977,23134,83233,600421.7059,2421765.138,9997951,3,10204773,1275596.625,3524470.83,9997951,209,10174845,1271855.625,3527016.937,10000386,3,0,0,0,0,296,296,0.881733221,0.881733221,0,2682,609.2631579,972.5325954,945819.6491,0,0,0,1,0,0,0,0,1,643.1111111,596,690.2222222,0,0,0,0,0,0,9,5364,9,6212,29200,75,2,32,206822,0,206822,206822,9997951,0,9997951,9997951,0
188,2,2,46,46,23,23,23,0,23,23,23,0,218640,147200,62.66666667,106.8097998,186,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,10638.29787,10638.29787,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,0
55489,5,3,435,283,435,0,87,194.537914,283,0,94.33333333,163.3901262,40452,110552,7927,10799.67035,23318,43,55489,13872.25,11918.06258,24477,369,24811,12405.5,16015.26149,23730,1081,0,0,0,0,172,104,90.10794932,54.06476959,0,435,79.77777778,162.8010886,26504.19444,0,0,0,1,0,0,0,0,0,89.75,87,94.33333333,0,0,0,0,0,0,5,435,3,283,65535,285,1,32,0,0,0,0,0,0,0,0,0
617,2,2,252,252,126,126,126,0,126,126,126,0,297515,217442,205.6666667,351.0289637,611,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,186,186,3241.491086,3241.491086,126,126,126,0,0,0,0,0,0,0,0,0,0,1,157.5,126,126,0,0,0,0,0,0,2,252,2,252,-1,-1,1,93,0,0,0,0,0,0,0,0,0
24479,2,2,66,196,33,33,33,0,98,98,98,0,15608,117866,8159.666667,14088.80791,24428,3,48,48,0,48,48,3,3,0,3,3,0,0,0,0,40,40,81.70268393,81.70268393,33,98,59,35.60196624,1267.5,0,0,0,0,0,0,0,0,1,73.75,33,98,0,0,0,0,0,0,2,66,2,196,-1,-1,1,20,0,0,0,0,0,0,0,0,0
85847574,20,10,4030,3160,403,0,201.5,206.7346379,316,316,316,0,299785,34581,2960261.172,12557802.55,65184542,2,85847574,4518293.368,15423290.63,65184542,2,85803422,9533713.556,21957786.07,65226594,3,1,0,0,0,640,320,0.232971056,0.116485528,0,403,244.9354839,175.619273,30842.12903,0,1,0,0,1,0,0,0,0,253.1,201.5,316,0,0,0,0,0,0,20,4030,10,3160,1046,2079,9,32,38801.5,54408.33128,77274,329,42847223.5,31589738.77,65184542,20509905,0
