,e,n,mpd_threshold,classifier_attack_success_rate,MPD_detection_rate
0,2.24,0,0.01,0.0,0.0
1,2.24,1,0.01,1.0,0.0
2,2.24,2,0.01,1.0,0.0
3,2.24,3,0.01,1.0,0.0
4,2.24,4,0.01,1.0,0.0
5,2.24,5,0.01,1.0,0.0
6,2.24,6,0.01,1.0,0.0
7,2.24,7,0.01,1.0,0.0
8,2.24,8,0.01,1.0,0.0
9,2.24,9,0.01,0.9763313609467456,0.0
10,2.24,10,0.01,0.9585798816568047,0.0
11,2.24,11,0.01,0.9304733727810651,0.0
12,2.24,12,0.01,0.9275147928994083,0.0
13,2.24,13,0.01,0.9260355029585798,0.0
14,2.24,14,0.01,0.9260355029585798,0.0
15,2.24,15,0.01,0.8846153846153846,0.0
16,2.24,16,0.01,0.7115384615384616,0.0
17,2.24,17,0.01,0.6124260355029586,0.0
18,2.24,18,0.01,0.5887573964497042,0.0
19,2.24,19,0.01,0.5769230769230769,0.0
20,2.24,20,0.01,0.5724852071005917,0.0
21,2.24,21,0.01,0.5680473372781065,0.0
22,2.24,22,0.01,0.5621301775147929,0.0
23,2.24,23,0.01,0.5576923076923077,0.0
24,2.24,24,0.01,0.5547337278106509,0.0
25,2.24,25,0.01,0.5473372781065089,0.0
26,2.24,26,0.01,0.5458579881656804,0.0
27,2.24,27,0.01,0.5428994082840237,0.0
28,2.24,28,0.01,0.5325443786982249,0.0
29,2.24,29,0.01,0.5281065088757396,0.0
30,2.24,30,0.01,0.5207100591715976,0.0
31,2.24,31,0.01,0.5177514792899408,0.0
32,2.24,32,0.3314285714285714,0.6005917159763314,0.1724137931034483
33,2.24,33,0.3314285714285714,0.5769230769230769,0.1794871794871795
34,2.24,34,0.3314285714285714,0.5576923076923077,0.1856763925729443
35,2.24,35,0.3314285714285714,0.5399408284023668,0.19452054794520549
36,2.24,36,0.3314285714285714,0.5014792899408285,0.2153392330383481
37,2.24,37,0.3314285714285714,0.485207100591716,0.22560975609756098
38,2.24,38,0.3314285714285714,0.46153846153846156,0.2467948717948718
39,2.24,39,0.3314285714285714,0.4526627218934911,0.2549019607843137
40,2.24,40,0.3314285714285714,0.4319526627218935,0.273972602739726
41,2.24,41,0.3314285714285714,0.4068047337278107,0.29818181818181816
42,2.24,42,0.3314285714285714,0.3801775147928994,0.3229571984435798
43,2.24,43,0.3314285714285714,0.3653846153846154,0.3360323886639676
44,2.24,44,0.3314285714285714,0.34615384615384615,0.3547008547008547
45,2.24,45,0.3314285714285714,0.3328402366863905,0.38222222222222224
46,2.24,46,0.3314285714285714,0.3254437869822485,0.39545454545454545
47,2.24,47,0.3314285714285714,0.3195266272189349,0.41203703703703703
48,2.24,48,0.3314285714285714,0.3150887573964497,0.4272300469483568
49,2.24,49,0.3314285714285714,0.30621301775147924,0.4492753623188406
50,2.24,50,0.3314285714285714,0.30325443786982254,0.4682926829268293
51,2.24,51,0.3314285714285714,0.29585798816568043,0.49
52,2.24,52,0.3314285714285714,0.2855029585798816,0.5077720207253886
53,2.24,53,0.3314285714285714,0.28106508875739644,0.5263157894736842
54,2.24,54,0.3314285714285714,0.2781065088757396,0.5425531914893617
55,2.24,55,0.3314285714285714,0.2751479289940828,0.5591397849462365
56,2.24,56,0.3314285714285714,0.2677514792899408,0.580110497237569
57,2.24,57,0.3314285714285714,0.264792899408284,0.5977653631284916
58,2.24,58,0.3314285714285714,0.26331360946745563,0.6123595505617978
59,2.24,59,0.3314285714285714,0.2603550295857988,0.6193181818181818
60,2.24,60,0.3314285714285714,0.25887573964497046,0.6342857142857142
61,2.24,61,0.3314285714285714,0.25887573964497046,0.6571428571428571
62,2.24,62,0.3314285714285714,0.25591715976331364,0.6763005780346821
63,2.24,63,0.3314285714285714,0.25147928994082835,0.6882352941176471
64,2.24,64,0.3314285714285714,0.25,0.6923076923076923
65,2.24,65,0.3314285714285714,0.242603550295858,0.7195121951219512
66,2.24,66,0.3314285714285714,0.22928994082840237,0.7741935483870968
67,2.24,67,0.3314285714285714,0.22928994082840237,0.7870967741935484
68,2.24,68,0.3314285714285714,0.22781065088757402,0.7922077922077922
69,2.24,69,0.3314285714285714,0.22781065088757402,0.7922077922077922
70,2.24,70,0.3314285714285714,0.22781065088757402,0.7987012987012987
71,2.24,71,0.3314285714285714,0.22781065088757402,0.8051948051948052
72,2.24,72,0.3314285714285714,0.22633136094674555,0.8104575163398693
73,2.24,73,0.3314285714285714,0.22633136094674555,0.8235294117647058
74,2.24,74,0.3314285714285714,0.22337278106508873,0.8410596026490066
75,2.24,75,0.3314285714285714,0.21893491124260356,0.8581081081081081
76,2.24,76,0.3314285714285714,0.21893491124260356,0.8581081081081081
